https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2qTKREN ,As many (Buddha) fields as there are in the ten directions may they be purified and exalted may they be filled with Sons of Buddhas and with Victors who have come to the lordly Bodhi trees,Yāvata keci daśad-diśĭ kṣetrās-te pariśuddha bhavantu udārāḥ Bodhi-drumendra-gatebhi Jinebhir-Buddha-sutebhi ca bhontu prapūrṇāḥ 
https//bitly/2qTKREN ,As many beings as there are in the ten directions may they always be happy and healthy and may the Dharma purpose and desire to pay respect of all beings be successful,Yāvata keci daśad-diśi sattvās-te sukhitāḥ sada bhontu arogāḥ sarva-jagasya ca Dharmiku artho bhontu pradakṣiṇu dhyatu āśā  
https//bitly/2qTKREN ,May I walking in the life of Awakening remember my births in all destinies and in all births fallings away and rebirths may I always go forth,Bodhi-cariṁ ca ahaṁ caramāṇo bhavi jāti-smaru  sarvagatīṣu sarvasu janmasŭ cyuty-upapattī pravrajito ahu nityu bhaveyyā 
https//bitly/2qTKREN ,Training in the way of all Victors fulfilling the good life may I always live unbroken and faultlessly a virtuous life stainless and pure,Sarva-Jinān-anuśikṣayamāṇo  bhadra-cariṁ paripūrayamāṇaḥ śīla-cariṁ vimalāṁ pariśuddhāṁ nityam-akhaṇḍam-achidra  careyam 
https//bitly/2qTKREN ,With the voices of gods with the voices of nāgas with the voices of yakṣas khumbāṇḍas and humans with whatever voices there are of all beings may I teach the Dharma with all (these) voices,Deva-rutebhi ca nāga-rutebhir-yakṣa-kumbhāṇḍa-manuṣya-rutebhiḥ yāni ca sarva-rutāni jagasya sarva-ruteṣv-ahu deśayi Dharmam 
https//bitly/2qTKREN ,May the skilful mind devoted to the perfections and Awakening never be bewildered and whatever wicked obstructions there are may they be destroyed without remainder,Peśalu  pāramitāsv-abhiyukto Bodhiyi cittu ma jātu vimuhyet ye ’pi ca pāpaka āvaraṇīyās-teṣu parikṣayu bhotu aśeṣam 
https//bitly/2qTKREN ,May I in all worldly states live liberated from Māra’s paths from defilements and from (bad) deeds like a lotus undefiled by water (like) the sun and the moon unobstructed by the sky,Karmatŭ kleśatu Māra-pathāto loka-gatīṣu vimuktu careyam padma yathā salilena aliptaḥ sūrya śaśī gaganeva asaktaḥ 
https//bitly/2qTKREN ,Pacifying all suffering in the lower worlds establishing the happiness of all beings may I live for the benefit of all beings in as many directions as there are paths in the (Buddha) fields,Sarvi apāya-dukhāṁ praśamanto sarva-jagat sukhi  sthāpayamānaḥ sarva-jagasya hitāya careyaṁ yāvata kṣetra-pathā diśatāsu 
https//bitly/2qTKREN ,Serving the life of (all) beings fulfilling the life of Awakening increasing the good life may I live (like this) in all future aeons,Sattva-cariṁ anuvartayamāno Bodhi-cariṁ paripūrayamāṇaḥ bhadra-cariṁ că prabhāvayamānaḥ sarvi anāgata-kalpa careyam 
https//bitly/2qTKREN ,With those who share my life may I always be in harmony through body speech and mind may I live focused on my aspiration,Ye ca sabhāgata mama caryāye  tebhi samāgamu nityu bhaveyyā kāyatu vācatu cetanato vā  eka-cari praṇidhāna careyam 
https//bitly/2qTKREN ,With those friends who desiring my benefit point to the good life may I always be in harmony and may I never alienate them,Ye ’pi ca mitrā mama  hita-kāmā bhadra-carīya nidarśayitāraḥ tebhi samāgamu nityu bhaveyyā tāṁś-ca ahaṁ na virāgayi jātu 
https//bitly/2qTKREN ,May I always see the Victors face to face those Lords in the midst of the Sons of Buddhas may I pay exalted honour to them unbrokenly throughout all future aeons,Saṁmukha nityam-ahaṁ Jina paśye Buddha-sutebhi parīvtu Nāthān teṣu ca pūja kareya udārāṁ sarvi anāgata-kalpam-akhinnaḥ 
https//bitly/2qTKREN ,Upholding the Good Dharma of the Victors explaining the life of Awakening purifying the good life may I live (like this) in all future aeons,Dhārayamāṇu Jināna Săddharmaṁ Bodhi-cariṁ paridīpayamānaḥ bhadra-cariṁ ca viśodhayamānaḥ sarvi anāgata-kalpa careyam 
https//bitly/2qTKREN ,Wandering through all existences with merit with knowledge having attained the imperishable with wisdom skill in means concentrations and liberations and with all virtue may I be an indestructible vessel,Sarva-bhaveṣu ca saṁsaramāṇaḥ puṇyatŭ jñānatu akṣayă-prāptaḥ prajña-upāya-samādhi-vimokṣaiḥ sarva-guṇair-bhavi akṣaya-kośaḥ 
https//bitly/2qTKREN ,The tip of one atom is like a (Buddha) field (full) of atoms in these inconceivable (Buddha) fields may I see Buddhas sat in the middle of Sons of Buddhas while living out the life of Awakening,Eka-rajāgri rajopama-kṣetrā tatra ca kṣetri acintiya Buddhān Buddha-sutāna niṣaṇṇaku madhye paśyiya Bodhi-cariṁ caramāṇaḥ 
https//bitly/2qTKREN ,In all directions without exception (even) in the ways of the foolish for the duration of the three times (like) an ocean of Buddhas may I plunge into oceans of (Buddha) fields wandering through oceans of aeons,Evam-aśeṣata sarva-diśāsu bāla-patheṣŭ triyădhva-pramāṇān Buddha-samudra thă kṣetra-samudrān-otari cārika-kalpa-samudrān 
https//bitly/2qTKREN ,Together with the voice of an ocean of singular intonations the pure intonation of all Victors may I always plunge into the Buddhas’ speech sounds made according to the intentions of all Victors,Eka-svarāṅga-samudra-rutebhiḥ sarva-Jināna svarāṅga-viśuddhim sarva-Jināna  yathāśaya-ghoṣān Buddha-sarasvatim-otari nityam 
https//bitly/2qTKREN ,Through those voices having the indestructible sounds of the Victors throughout all three times rolling the systematic Wheel (of Dharma) may I attain (Awakening) through the strength of (my) intelligence,Teṣu ca akṣaya-ghoṣa-ruteṣu sarvă-triyadhva-gatāna Jinānām Cakra-nayaṁ parivartayamāno Buddhi-balena ahaṁ praviśeyam 
https//bitly/2qTKREN ,May I enter into all future aeons in an instant and having reached the end of that instant may I live through whatever aeons there are for the duration of the three times,Ekă-kṣaṇena anāgata-sarvān kalpă-praveśa ahaṁ praviśeyam ye ’pi ca kalpă triyadhvă-pramāṇās-tān kṣaṇa-koṭĭ-praviṣṭa careyam 
https//bitly/2qTKREN ,May I see in an instant whatever Lions of Men there are throughout the three times always plunging into their range through the magical power of the liberations,Ye că triyadhva-gatā Nara-siṁhās-tān-ahu  paśyiya ekă-kṣaṇena teṣu ca gocarim-otari nityaṁ māya-gatena vimokṣa-balena 
https//bitly/2qTKREN ,Having realised in the tip of one atom those arrays of good (Buddha) fields in the three times may I plunge into the array of the Victors’ fields in all directions without exception,Ye că triyadhva-sŭkṣetra-viyūhās-tān-abhinirhari  eka-rajāgre evam-aśeṣata sarva-diśāsu otarĭ kṣetra-viyūha Jinānām 
https//bitly/2qTKREN ,Having understood the Wheel-rollings of all these future Lights of the World continuing insight into cessation peaceful I approach all Lords,Ye ca anāgata Lokă-pradīpās-teṣu vibudhyana Cakră-pravttim nirvti-darśana-niṣṭhă praśāntiṁ sarvi ahaṁ upasaṁkrami Nāthān 
https//bitly/2qTKREN ,Through the strength of spiritual power quick all-round through the strength of the (Great) Vehicle entering all-round through the strength of conduct virtuous all-round through the strength of loving-kindness established all-round,ddhi-balena samanta-javena Yāna-balena  samanta-mukhena carya-balena samanta-guṇena maitra-balena samanta-gatena 
https//bitly/2qTKREN ,through the strength of merit lovely all-round through the strength of knowledge established in non-attachment through the strength of concentrations means and wisdom I am perfecting the strength of Awakening,puṇya-balena samanta-śubhena jñāna-balena asaṅga-gatena prajña-upāya-samādhibalena Bodhi-balaṁ samudānayamānaḥ 
https//bitly/2qTKREN ,Purifying the strength of deeds crushing the strength of defilements making powerless the strength of Māra may I fulfil all the strengths of the good life,Karma-balaṁ pariśodhayamānaḥ kleśa-balaṁ parimardayamānaḥ Māra-balaṁ abalaṁ karamāṇaḥ pūrayi bhadra-carī-bala sarvān 
https//bitly/2qTKREN ,Purifying an ocean of (Buddha) fields liberating an ocean of beings having insight into an ocean of Dharma (teachings) penetrating an ocean of knowledges,Kṣetra-samudra viśodhayamānaḥ sattva-samudra vimocayamānaḥ Dharma-samudra vipaśyayamāno jñāna-samudra vigāhayamānaḥ 
https//bitly/2qTKREN ,purifying an ocean of (good) conduct fulfilling an ocean of aspirations honouring an ocean of Buddhas may I live through an unbroken ocean of aeons,carya-samudra viśodhayamānaḥ praṇidhi-samudra prapūrayamāṇaḥ Buddha-samudra prapūjayamānaḥ kalpa-samudra careyam-akhinnaḥ 
https//bitly/2qTKREN ,May I fulfil completely and without remainder the special aspiration to the life of Awakening of those Victors of the three times and through the good life may I awaken to Awakening,Ye că triyadhva-gatāna Jinānāṁ Bodhi-cari-praṇidhāna-viśeṣāḥ tān-ahu pūrayi sarvi aśeṣān  bhadra-carīya vibudhyiya  Bodhim 
https//bitly/2qTKREN ,The eldest son of all the Victors who is known as Samantabhadra may I offer all of this wholesomeness to this wise one,Jyeṣṭhaku yaḥ sutu sarva-Jinānāṁ yasya ca nāma Samantatabhadraḥ tasya vidusya sabhāga-carīye nāmayamī kuśalaṁ imu sarvam 
https//bitly/2qTKREN ,Purified through body speech and mind then having pure conduct a pure field (of action) may I be similar to the wise one who is known as good,Kāyatu vāca manasya viśuddhiś-carya-viśuddhy-athă kṣetra-viśuddhiḥ yādśa nāmana bhadra-vidusya tādśa bhotu samaṁ mama tena 
https//bitly/2qTKREN ,May I live the aspiration of Mañjuśrī in a good life beautiful all-round and through all future aeons unbroken may I fulfil all (good) deeds without remainder,Bhadra-carīya samanta-śubhāye Mañjuśirī-praṇidhāna  careyam sarvi anāgata kalpam-akhinnaḥ pūrayi tāṁ kriya sarvi aśeṣām 
https//bitly/2qTKREN ,May there be no measure to this life may there be no measure to these virtues having established this immeasureable life may I know all their transformations,No că pramāṇu bhaveyya carīye no că pramāṇu bhaveyya guṇānām apramāṇa cariyāyă sthihitvā  jānayi  sarvi vikurvitu teṣām 
https//bitly/2qTKREN ,For as long as the sky continues (and) beings without remainder continue as long as defiled deeds continue for that long my aspiration will continue,Yāvata niṣṭha nabhasya bhaveyyā sattva aśeṣata niṣṭha tathaiva karmatŭ kleśatu yāvata niṣṭhā tāvata-niṣṭha mama praṇidhānam  
https//bitly/2qTKREN ,May I give decorated jewels to the Victors in the endless (Buddha) fields in the ten directions may I give special comfort to gods and humans for as many aeons as there are atoms in the (Buddha) fields,Ye ca daśad-diśĭ kṣetra anantā ratna-alaṁktu dadyu Jinānām divya ca mānuṣa saukhya-viśiṣṭāṁ kṣetra-rajopama-kalpa dadeyam 
https//bitly/2qTKREN ,May he having heard this King of complete fulfilment understand at once determined desiring the noble Awakening may this merit be special and prominent,Yaś-ca imaṁ pariṇāmana-Rājaṁ śrutva sakj-janayed-adhimuktim Bodhi-varām-anŭprārthayamāno agru viśiṣṭa bhaved-imu puṇyam 
https//bitly/2qTKREN ,Warding off the lower worlds through this warding off bad friends through this quickly see Amitābhā having this Aspiration for the Good Life,Varjita tena bhavanti apāyā varjita tena bhavanti kumitrāḥ kṣipru sa paśyati taṁ Amitābhaṁ yasy-imu Bhadra-cari-praṇidhānam 
https//bitly/2qTKREN ,For these the good life and (true) gains are easily obtained they are born in a good state as a human through that they become in no long time similar to Samantabhadra,Lābha sulabdha sujīvitu teṣāṁ svāgata te imu mānuṣa-janma yādśa so hi Samantatabhadras-te ’pi tathā nacireṇa bhavanti 
https//bitly/2qTKREN ,The five wicked (crimes having retribution) immediately (after this life) performed through ignorance he can quickly destroy through reciting the Good Life (verses found here),Pāpaka pañca anantariyāṇi yena ăjñāna-vaśena ktāni so imu Bhadra-cariṁ bhaṇamānaḥ kṣipru parikṣayu bhoti  aśeṣam 
https//bitly/2qTKREN ,He will be endowed with knowledge (good) form characteristics class lineage he will be uncrushed by the legions of Māras and heretics (and) honoured throughout the three worlds,Jñānatu rūpatu lakṣaṇataś-ca varṇatu gotratu bhotir-upetaḥ tīrthika-Māra-gaṇebhir-aghṣyaḥ  pūjitu bhoti sa sarvă-tri-loke 
https//bitly/2qTKREN ,Quickly he goes to the Lord of Bodhi trees and after going he sits (there) for the benefit of (all) beings realising Awakening he can turn the (Dharma) Wheel and can overpower Māra and his entire army,Kṣipru sa gacchati Bodhĭ-drumendraṁ gatva niṣīdati sattva-hitāya budhyati Bodhĭ pravartayi Cakraṁ  dharṣayi  Māru sasainyaku sarvam 
https//bitly/2qTKREN ,The Buddha knows him who remembers recites and teaches this Aspiration for the Good Life the result of which is the excellent Awakening do not have (any) doubt,Yo imu Bhadra-cari-praṇidhānaṁ dhārayi vācayi deśayito vā Buddha vijānati yo ’tra vipāko Bodhi viśiṣṭa ma kāṅkṣa janetha 
https//bitly/2qTKREN ,Just as the hero Mañjuśrī knows so also does Samantabhadra training in these (practices) I offer all this wholesomeness (to them),Mañjuśirī yatha jānati śūraḥ so ca Samantatabhadra tathaiva teṣu ahaṁ anuśikṣayamāṇo nāmayamī kuśalaṁ imu sarvam 
https//bitly/2qTKREN ,Complete fulfilment has been praised as the pinnacle by the Victors throughout all three times I offer (to them) all the wholesomeness of this noble and good life,Sarvă-triyadhva-gatebhi Jinebhir-yā pariṇāmana varṇita agrā tāya ahaṁ kuśalaṁ imu sarvaṁ nāmayamī vara-bhadra-carīye 
https//bitly/2qTKREN ,When I am dying may I remove all obstables and may I go to the Sukhāvati land and see Amitābhā face to face,Kālă-kriyāṁ ca ahaṁ karamāṇo āvaraṇān vinivartiya sarvān saṁmukha paśyiya taṁ Amitābhaṁ taṁ ca Sukhāvatĭ-kṣetră vrajeyam 
https//bitly/2qTKREN ,Having gone there may all these aspirations be present and complete having fulfilled them without remainder I will work for the welfare of as many beings as there are in the world,Tatra gatasya imi praṇidhānā āmukhi sarvi bhaveyyu samagrā tāṁś-ca ahaṁ paripūrya aśeṣān sattva-hitaṁ kari-yāvata loke 
https//bitly/2qTKREN ,May I delight in the midst of the circle of Victors (then) reborn on a splendid and noble lotus may I gain there the prediction (of Awakening) face to face with the Victor Amitābhā,Tahi  Jina-maṇḍali śobhani ramye padma-vare rucire upapannaḥ vyākaraṇaṁ ahu tatra labheyyā saṁmukhato Amitābha-Jinasya 
https//bitly/2qTKREN ,Having received the prediction there may I through the power of intelligence perform abundant benefits for beings in the ten directions through tens of billions of magical creations,Vyākaraṇaṁ pratilabhya ca  tasmin nirmita-koṭi-śatebhir-anekaiḥ sattva-hitāni bahūny-ahu kuryāṁ dikṣu daśasv-api buddhi-balena 
https//bitly/2qTKREN ,Having recited this Aspiration for the Good Life whatever wholesomeness has been accumulated through that in an instant may all good aspirations beings have be accomplished,Bhadra-cari-praṇidhāna paṭhitvā yat-kuśalaṁ mayi saṁcitu kiṁcit ekă-kṣaṇena samdhyatu sarvaṁ tena jagasya śubhaṁ praṇidhānam 
https//bitly/2qTKREN ,By completely fulfilling the good life whatever endless excellent merit has been obtained through that may beings overcome and immersed in the flood of misfortunes go to the noble city of Amitābhā,Bhadra-cariṁ pariṇāmya yad-āptaṁ puṇyam-anantam-atīva viśiṣṭam tena jagad-vyasanaughani-magnaṁ yātv-Amitābha-puriṁ varam-eva 
https//bitly/2gSttKk, 1 That Arhat is here saluted who has no counterpart — who as bestowing the supreme happiness surpasses (Brahman) the Creator — who as driving away darkness vanquishes the sun — and as dispelling all burning heat surpasses the beautiful moon,śriyaṁ parārdhyāṁ vidadhadvidhātṛjit tamo nirasyannabhibhūtabhānubhṛt |nudannidāghaṁ jitacārucaṁdramāḥ sa vaṁdyate rhanniha yasya nopamā || 11* 02
https//bitly/2gSttKk, 2 There was a city the dwelling-place 03 of the great saint Kapila having its sides surrounded by the beauty of a lofty broad table-land as by a line of clouds and itself with its high-soaring palaces 04 immersed in the sky,āsīdviśālonnatasānulakṣmyā payodapaṁktyeva parītapārśvam |udagradhiṣṇyaṁ gagaṇe vagāḍhaṁ puraṁ maharṣeḥ kapilasya vastu || 12*
https//bitly/2gSttKk, 3 By its pure and lofty system of government it as it were stole the splendour of the clouds of Mount Kailāsa and while it bore the clouds which came to it through a mistake it fulfilled the imagination which had led them thither 05,sitonnateneva nayena hṛtvā kailāsaśailasya yadabhraśobhām |bhramādupetān vahadaṁbuvāhān saṁbhāvanāṁ vā saphalīcakāra || 13*
https//bitly/2gSttKk, 4 In that city shining with the splendour of gems darkness like poverty could find no place prosperity shone resplendently as with a smile from the joy of dwelling with such surpassingly excellent citizens,ratnaprabhodbhāsini yatra lebhe tamo na dāridryamivāvakāśam |parārdhyapauraiḥ sahavāsatoṣāt kṛtasmitevātirarāja lakṣmīḥ || 14*
https//bitly/2gSttKk, 5 With its festive arbours its arched gateways and pinnacles 06 it was radiant with jewels in every dwelling and unable to find any other rival in the world it could only feel emulation with its own houses,yadvedikātoraṇasiṁhakarṇairatnairdadhānaṁ prativeśama śobhām |jagatyadṛṣṭveva samānamanyatspardhāṁ svagehairmitha eva cakre || 15*
https//bitly/2gSttKk, 6 There the sun even although he had retired was unable to scorn the moon-like faces of its women which put the lotuses to shame and as if from the access of passion hurried towards the western ocean to enter the (cooling) water,rāmāmukheṁdūn paribhūtapadmān yatrāpayāto pyavimanya bhānuḥ |saṁtāpayogādiva vāri veṣṭuṁ paścātsamudrābhimukhaḥ pratasthe || 16*
https//bitly/2gSttKk, 7 Yonder Indra has been utterly annihilated by the people when they saw the glories 07 acquired by the Sakyas’-uttering this scoff the city strove by its banners with gay-fluttering streamers to wipe away every mark of his existence,śakyārjitānāṁ yaśasāṁ janena dṛṣṭvāṁtabhāvaṁ gamito yamindraḥ |iti dhvajaiścārucalatpatākairyanmārṣṭumasyāṁkamivodayacchat || 17*
https//bitly/2gSttKk, 8 After mocking the water-lilies even at night by the moonbeams which rest on its silver pavilions — by day it assumed the brightness of the lotuses through the sunbeams falling on its golden palaces,kṛtvāpi rātrau kumudaprahāsamiṁdoḥ karairyadrajatālayasthaiḥ |sauvarṇaharmyeṣu gatārkapādairdivā sarojadyutimālalaṁbe || 18*
https//bitly/2gSttKk, 9 A king by name Śuddhodana of the kindred of the sun anointed to stand at the head of earths monarchs — ruling over the city adorned it as a bee-inmate a full-blown lotus 08,mahībṛtāṁ mūrdhni kṛtābhiṣekaḥ śuddhodano nāma nṛpo rkabaṁdhuḥ |adhyāśayo vā sphuṭapudarīkaṁ purādhirājaṁ tadalaṁcakāra || 19*
https//bitly/2gSttKk, 10 The very best of kings with his train ever near him 09 — intent on liberality yet devoid of pride 10 a sovereign yet with an ever equal eye thrown on all 11 — of gentle nature and yet with wide-reaching majesty 12,bhūbhṛtparārdhyo pi sapakṣa eva pravṛttadāno pi madānupetaḥ |īśo pi nityaṁ samaḍṛṣṭipātaḥ saumyasvabhāvo pi pṛthupratāpaḥ || 110*
https//bitly/2gSttKk, 11 Falling smitten by his arm in the arena of battle the lordly elephants of his enemies bowed prostrate with their heads pouring forth quantities of pearls as if they were offering handfuls of flowers in homage,bhujena yasyābhihatāḥ pataṁto dviṣaddvipeṁdrāḥ samarāṁgaṇeṣu |udvāṁtamuktāprakaraiḥ śirobhirbhaktyeva puṣpāṁjalibhiḥ praṇemuḥ || 111*
https//bitly/2gSttKk, 12 Having dispersed his enemies by his preeminent majesty as the sun disperses the gloom of an eclipse he illuminated his people on every side showing them the paths which they were to follow,atipratāpādavadhūya śatrūnmahoparāgāniva tigmabhānuḥ |udyotayāmāsa janaṁ samaṁtātpradarśayannāśrayaṇīyamārgān || 112*
https//bitly/2gSttKk, 13 Duty wealth and pleasure under his guidance assumed mutually each other’s object but not the outward dress yet as if they still vied together they shone all the brighter in the glorious career of their triumphant success,dharmārthakāmā viṣayaṁ mitho nyaṁ na veśamācakramurasya nītyā |vispardhamānā iva tūgrasiddheḥ sugocare dīptatarā babhūvuḥ || 113*
https//bitly/2gSttKk, 14 He the monarch of the Śākyas of native pre-eminence but whose actual pre-eminence was brought about by his numberless councillors of exalted wisdom shone forth all the more gloriously like the moon amidst the stars shining with a light like its own 13,udārasaṁkhyaiḥ sacivāirasaṁkhyaiḥ kṛtāgrabhāvaḥ sa udagrabhāvaḥ |śaśī yathā bhairakṛtānyathābhaiḥ śakyeṁdrarājaḥ sutarāṁ rarāja || 114*
https//bitly/2gSttKk, 15 To him there was a queen named Māyā as if free from all deceit (māyā) — an effulgence proceeding from his effulgence like the splendour of the sun when it is free from all the influence of darkness a chief queen in the united assembly of all queens,tasyātiśobhāvisṛtātiśobhā raviprabhevāstatamaḥ prabhāvā |samagradevīnivahāgradevī babhūva māyāpagateva māyā || 115*
https//bitly/2gSttKk, 16 Like a mother to her subjects intent on their welfare — devoted to all worthy of reverence like devotion itself — shining on her lord’s family like the goddess of prosperity — she was the most eminent of goddesses to the whole world,prajāsu māteva hitapravṛttā gurau jane bhaktirivānuvṛttā |lakṣmīrivādhīśakule kṛtābhā jagatyabhūduttamadevatā yā || 116*
https//bitly/2gSttKk, 17 Verily the life of women is always darkness yet when it encountered her it shone brilliantly thus the night does not retain its gloom when it meets with the radiant crescent of the moon,kāmaṁ sadā strīcaritaṁ tamisraṁ tathāpi tāṁ prapya bhṛśaṁ vireje |na hīṁdulekhāmupagamya śubhāṁ naktaṁ tathā saṁtamasatvameti || 117*
https//bitly/2gSttKk, 18 This people being hard to be roused to wonder in their souls cannot be influenced by me if I come to them as beyond their senses’ - so saying Duty abandoned her own subtile nature and made her form visible,atīṁdriyenātmani duṣkuho yaṁ mayā jano yojayituṁ na śakyaḥ |itīva sūkṣmāṁ prakṛtiṁ vihāya dharmeṇa sākṣādvihitā svamūrtiḥ || 118*
https//bitly/2gSttKk, 19 Then falling from the host of beings in the Tuṣita heaven 14 and illumining the three worlds the most excellent of Bodhisattvas suddenly entered at a thought into her womb like the Nāga-king entering the cave of Nandā,cyuto tha kāyāttuṣitāt trilokīmudyotayannuttamabodhisattvaḥ |viveśa tasyāḥ smṛta eva kukṣau naṁdāguhāyāmiva nāgarājaḥ || 119*
https//bitly/2gSttKk, kukṣiṁ viveśa sa jagadvyasanakṣayāya || 120*,dhṛtvā himādridhavalaṁ guru ṣaḍviṣāṇāṁdānādhivāsitamukhaṁ dviradasya rūpam |
https//bitly/2gSttKk, 20 Assuming the form of a huge elephant white like Himālaya armed with six tusks with his face perfumed with flowing ichor he entered the womb of the queen of king Śuddhodana to destroy the evils of the world,śuddhodanasya vasudhādhipatermahiṣyāḥkukṣiṁ viveśa sa jagadvyasanakṣayāya || 120*
https//bitly/2gSttKk, 21 The guardians of the world hastened from heaven to mount watch over the world’s one true ruler thus the moonbeams though they shine everywhere are especially bright on Mount Kailāsa,rakṣāvidhānaṁ prati lokapālā lokaikanāthasya divo bhijagmuḥ |sarvatra bhāṁto pi hi caṁdrapādā bhajaṁti kailāsagirau viśeṣam || 121*
https//bitly/2gSttKk, 22 Māyā also holding him in her womb like a line of clouds holding a lightning-flash relieved the people around her from the sufferings of poverty by raining showers of gifts,mayāpi taṁ kukṣigataṁ dadhānā vidyudvilāsaṁ jaladāvalīva |dānābhivarṣaiḥ parito janānāṁ dāridryatāpaṁ śamayāṁcakāra || 122*
https//bitly/2gSttKk, 23 Then one day by the king’s permission the queen having a great longing in her mind went with the inmates of the gynaeceum into the garden Lumbinī,sātaḥ purajanā devī kadācidatha luṁbinīm |jagāmānumate rājñaḥ saṁbhūtottamadohadā || 123*
https//bitly/2gSttKk, 24 As the queen supported herself by a bough which hung laden with a weight of flowers the Bodhisattva suddenly came forth cleaving open her womb,śākhāmālaṁbamānāyāḥ puṣpabhārāvalaṁbinīm |devyāḥ kukṣiṁ vibhidyāśu bodhisattvo viniryayau || 124*
